2. DFT data set

ID IP/eV n/cP Tb/K Tf/K mu(Li)/(keal/mol) mu(PF6-)/(kcal/mol)
N3C842 -8.62 6.12 636.26 425.70 18.48 0.72
N3C843 -8.55 10.82 653.69 441.56 17.51 -0.16
N3C85 -8.21 1.93 500.61 345.60 20.97 2.57
N3C86 -8.60 5.57 569.69 393.57 19.08 1.37
N3C87 -6.84 7.60 617.20 423.49 17.89 0.25
N3C88 -8.46 5.12 630.90 427.69 17.27 -0.12
N3C9100 -8.18 8.37 610.72 418.97 17.97 1.21
N3C9101 -8.19 6.13 651.15 437.41 19.23 1.72
N3C9102 -8.22 1.35 494.60 338.47 20.86 3.12
N3C9103 -7.92 1.88 506.50 348.29 20.99 2.65
N3C9104 -6.63 2.55 561.61 382.18 18.79 1.57
N3C9105 -8.49 2.80 565.49 385.21 18.85 1.51
N3C9106 -8.44 5.16 668.35 447.25 17.40 0.37
N3C9107 -8.61 4.88 655.98 438.56 19.03 1.52
N3C9108 -7.46 4.87 686.86 456.24 17.49 0.39
N3C9109 -8.00 8.58 622.20 426.25 17.66 0.35
N3C910 -6.67 7.42 704.51 470.94 16.87 -0.06
N3C9110 -8.32 9.51 644.52 433.23 17.91 1.01
N3C9111 -8.46 18.23 710.44 475.37 17.04 0.43
N3C9114 -8.48 34.99 759.55 507.91 16.54 -0.96
N3C09115 -8.57 22.05 779.71 513.71 16.85 -0.25
N3C9116 -8.44 28.17 743.00 497.74 16.49 -0.84
N3C09117 -8.52 23.33 713.61 479.38 16.65 -0.48
N3C9118 -8.63 23.50 813.86 533.44 16.40 -1.04
N3C9119 -7.66 6.48 704.78 462.02 18.55 1.25
N3C9120 -8.11 6.53 701.50 460.19 18.63 1.20
N3C9121 -8.28 7.29 709.89 466.04 18.67 1.25
N3C09122 -7.97 9.25 732.70 481.23 17.50 0.32
N3C9123 -8.58 10.41 647.92 437.26 17.52 0.46
N3C9124 -8.50 10.23 688.77 458.60 17.60 0.50
N3C9125 -8.27 11.37 667.38 447.93 17.48 0.13
